         57347559 function calls (56106207 primitive calls) in 92.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4352    0.003    0.000    0.044    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:453(_get_text2_transform)
    30464    0.015    0.000    0.044    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/units.py:56(_is_natively_supported)
    41344    0.017    0.000    0.044    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:811(set_variant)
     4352    0.006    0.000    0.044    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1013(get_xaxis_text2_transform)
   284668    0.043    0.000    0.043    0.000 {method 'update' of 'dict' objects}
43520/43500    0.016    0.000    0.042    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/markers.py:275(_set_fillstyle)
     2176    0.008    0.000    0.041    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:91(norm)
        1    0.000    0.000    0.041    0.041 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/unittest/__init__.py:1(<module>)
        1    0.000    0.000    0.041    0.041 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/unittest/main.py:1(<module>)
     6528    0.002    0.000    0.041    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:2227(mpl_connect)
    13056    0.009    0.000    0.041    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:73(wrapper)
     2176    0.004    0.000    0.040    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2644(get_matrix)
   203456    0.040    0.000    0.040    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cycler/__init__.py:259(__iter__)
     2170    0.003    0.000    0.040    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:2290(mpl_disconnect)
        1    0.000    0.000    0.040    0.040 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/sparse/csgraph/__init__.py:1(<module>)
  498/497    0.029    0.000    0.039    0.000 {built-in method _io.open_code}
       58    0.000    0.000    0.039    0.001 <frozen zipimport>:68(__init__)
       14    0.000    0.000    0.039    0.003 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/pycparser/c_parser.py:130(parse)
       14    0.000    0.000    0.039    0.003 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/pycparser/ply/yacc.py:323(parse)
       14    0.009    0.001    0.039    0.003 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/pycparser/ply/yacc.py:1001(parseopt_notrack)
    82/74    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:1326(exec_module)
     1088    0.002    0.000    0.039    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_axes.py:5518(_quiver_units)
     4352    0.015    0.000    0.039    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1057(set)
     6528    0.008    0.000    0.039    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:779(frozen)
     2193    0.008    0.000    0.039    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/_base.py:537(set_result)
    82/74    0.004    0.000    0.039    0.001 {built-in method _imp.exec_dynamic}
     4352    0.005    0.000    0.039    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1095(get_yaxis_text2_transform)
       71    0.033    0.000    0.038    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/gribapi/gribapi.py:158(wrapper)
     8704    0.016    0.000    0.038    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1946(_set_formatter)
     4352    0.003    0.000    0.037    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:604(new_gc)
    17408    0.030    0.000    0.037    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1045(_translate_tick_params)
39168/4352    0.011    0.000    0.037    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2370(_invalidate_internal)
1938/1926    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     4586    0.015    0.000    0.037    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:257(_parse_path)
     1088    0.001    0.000    0.037    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:848(set_alpha)
   461657    0.037    0.000    0.037    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/_api/__init__.py:153(<genexpr>)
   1812/4    0.020    0.000    0.036    0.009 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:3334(savefig)
   1836/4    0.023    0.000    0.036    0.009 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:2049(print_figure)
     2170    0.017    0.000    0.036    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:330(disconnect)
       15    0.000    0.000    0.036    0.002 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/metadata/__init__.py:756(search)
     9792    0.008    0.000    0.036    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:1013(set_alpha)
     2176    0.006    0.000    0.036    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/Image.py:3157(frombuffer)
   1869/4    0.026    0.000    0.036    0.009 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
   1924/4    0.014    0.000    0.036    0.009 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
     2176    0.006    0.000    0.036    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:2094(axis)
    72051    0.035    0.000    0.035    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    14144    0.014    0.000    0.035    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:444(set_linestyle)
    41344    0.015    0.000    0.035    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:1330(set_usetex)
6528/5440    0.015    0.000    0.035    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1777(__eq__)
1701/1130    0.010    0.000    0.035    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4352    0.009    0.000    0.034    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/backend_bases.py:680(__init__)
       59    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:1675(_fill_cache)
     4352    0.002    0.000    0.033    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1127(get_position)
     1088    0.008    0.000    0.033    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/path.py:749(unit_regular_polygon)
     2176    0.016    0.000    0.033    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:3108(set_size_inches)
8704/8620    0.004    0.000    0.033    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:1594(_shrink_mask)
      561    0.001    0.000    0.032    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:330(_compile)
     8704    0.011    0.000    0.032    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1224(_set_artist_props)
      237    0.000    0.000    0.032    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:287(compile)
    14398    0.014    0.000    0.032    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/numerictypes.py:471(issubdtype)
     4352    0.005    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:406(update_position)
    26112    0.005    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1217(set_markeredgecolor)
     4352    0.004    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3695(get_xlim)
    22848    0.012    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:501(set_capstyle)
     1088    0.002    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:101(get_verts)
      128    0.000    0.000    0.031    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:743(compile)
   285062    0.031    0.000    0.031    0.000 {built-in method builtins.iter}
    60862    0.019    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:169(__getitem__)
   289695    0.030    0.000    0.031    0.000 {method 'pop' of 'dict' objects}
     2188    0.018    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/function_base.py:25(linspace)
     4352    0.004    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1158(get_inverted)
     4352    0.005    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:467(update_position)
    21760    0.005    0.000    0.031    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/getlimits.py:621(tiny)
        4    0.000    0.000    0.030    0.008 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/metadata/__init__.py:765(lookup)
     4128    0.001    0.000    0.030    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colors.py:2207(_changed)
     1088    0.001    0.000    0.030    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1715(frozen)
    69632    0.012    0.000    0.030    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:268(convert_xunits)
   130662    0.020    0.000    0.030    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/lib/_index_tricks_impl.py:625(__next__)
    26112    0.014    0.000    0.030    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1409(set_dash_capstyle)
        1    0.000    0.000    0.029    0.029 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/optimize/_shgo.py:1(<module>)
     6528    0.006    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:232(frozen)
     1088    0.001    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1468(__array__)
    52224    0.018    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/spines.py:566(__getitem__)
    26112    0.012    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1129(set_linewidth)
     2176    0.004    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:359(size)
     4352    0.002    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:216(__init__)
     4352    0.004    0.000    0.029    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1701(__init__)
   151465    0.028    0.000    0.028    0.000 {method 'tolist' of 'numpy.ndarray' objects}
    21760    0.005    0.000    0.028    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:1374(make_mask_descr)
    26112    0.006    0.000    0.028    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1237(set_markerfacecoloralt)
        1    0.000    0.000    0.028    0.028 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/spatial/__init__.py:1(<module>)
    50048    0.012    0.000    0.027    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:824(set_weight)
     4352    0.002    0.000    0.027    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:2345(getter)
     3264    0.007    0.000    0.027    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:583(set_linewidth)
        1    0.000    0.000    0.027    0.027 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/optimize/_linprog.py:1(<module>)
      496    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     6528    0.007    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:800(__init__)
    13054    0.017    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:700(__hash__)
     2176    0.002    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1381(contains_branch)
     4352    0.003    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:461(set_edgecolor)
   109748    0.019    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:1860(_str_equal)
     4352    0.004    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3948(get_ylim)
      5/1    0.000    0.000    0.026    0.026 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/_api/__init__.py:214(__getattr__)
      5/1    0.000    0.000    0.026    0.026 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/__init__.py:240(<lambda>)
   131876    0.026    0.000    0.026    0.000 {built-in method numpy.empty}
161642/161548    0.025    0.000    0.026    0.000 {built-in method __new__ of type object at 0x102dbfcf0}
    42432    0.019    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:33(_get_dash_pattern)
    69632    0.010    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:280(convert_yunits)
    21760    0.026    0.000    0.026    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/getlimits.py:598(smallest_normal)
   414212    0.026    0.000    0.026    0.000 {built-in method builtins.callable}
     2176    0.015    0.000    0.025    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/ndimage/_filters.py:226(_gaussian_kernel1d)
     2176    0.005    0.000    0.025    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3263(set_axisbelow)
     4352    0.007    0.000    0.025    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:221(set_prop_cycle)
     2176    0.004    0.000    0.025    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:4792(reshape)
     1997    0.006    0.000    0.025    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/_base.py:81(add_result)
     4352    0.004    0.000    0.025    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/ticker.py:2249(view_limits)
        1    0.000    0.000    0.025    0.025 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/sparse/csgraph/_laplacian.py:1(<module>)
     2176    0.004    0.000    0.025    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:4729(ravel)
        1    0.000    0.000    0.024    0.024 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/_lib/array_api_compat/__init__.py:1(<module>)
    37959    0.020    0.000    0.024    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.024    0.024 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/_lib/array_api_compat/common/__init__.py:1(<module>)
102578/93500    0.010    0.000    0.024    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.024    0.024 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/sparse/linalg/__init__.py:1(<module>)
     4352    0.007    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:597(_get_data_path)
        1    0.000    0.000    0.024    0.024 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/f2py/__init__.py:1(<module>)
     3264    0.009    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/lib/_index_tricks_impl.py:34(ix_)
   261704    0.024    0.000    0.024    0.000 {method 'extend' of 'list' objects}
    41344    0.009    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:850(set_stretch)
   233043    0.024    0.000    0.024    0.000 {built-in method builtins.delattr}
    37043    0.024    0.000    0.024    0.000 {method 'view' of 'numpy.generic' objects}
    26112    0.013    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1071(set_drawstyle)
     1088    0.001    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:323(_scale_norm)
    41344    0.008    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:934(set_math_fontfamily)
     1088    0.001    0.000    0.024    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:4316(__add__)
       20    0.000    0.000    0.023    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cfgrib/messages.py:490(first)
    36992    0.008    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:1154(get_default_size)
        1    0.000    0.000    0.023    0.023 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/dask/base.py:1(<module>)
        1    0.000    0.000    0.023    0.023 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/f2py/f2py2e.py:1(<module>)
     4364    0.021    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:1369(diff)
     2176    0.017    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:990(set_sizes)
     6528    0.007    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:587(set_clip_box)
     1088    0.001    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:65(_scale_norm)
     6528    0.003    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2301(get_matrix)
    21760    0.014    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/ma/core.py:1360(_replace_dtype_fields)
     4352    0.002    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1906(set_major_formatter)
      496    0.023    0.000    0.023    0.000 {built-in method marshal.loads}
4352/2176    0.002    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2377(__eq__)
     1134    0.001    0.000    0.023    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2241(clip)
     8974    0.015    0.000    0.022    0.000 <frozen posixpath>:72(join)
     2176    0.002    0.000    0.022    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colors.py:2179(vmin)
        1    0.000    0.000    0.022    0.022 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/dask/delayed.py:1(<module>)
        1    0.000    0.000    0.022    0.022 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/optimize/_minimize.py:1(<module>)
    17408    0.006    0.000    0.022    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:1054(set_fontfamily)
    13056    0.021    0.000    0.022    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:888(reset_ticks)
     1088    0.011    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/quiver.py:991(_find_tails)
      188    0.001    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/xarray/core/dataarray.py:432(__init__)
     2176    0.006    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/Image.py:3059(new)
    11968    0.020    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
     4352    0.002    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:471(set_facecolor)
    46008    0.021    0.000    0.021    0.000 {method '__reduce_ex__' of 'object' objects}
    26112    0.010    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1361(set_dash_joinstyle)
     2176    0.001    0.000    0.021    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1710(__eq__)
        1    0.000    0.000    0.021    0.021 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/ndimage/__init__.py:1(<module>)
     4352    0.004    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/markers.py:776(_set_tickdown)
    26112    0.006    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:506(set_pickradius)
     4352    0.003    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:935(_set_gc_clip)
    22860    0.014    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/getlimits.py:493(__new__)
     8704    0.004    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1271(_set_artist_props)
     4352    0.008    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1972(set_major_locator)
     2176    0.001    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2156(__eq__)
   164375    0.020    0.000    0.020    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py:1154(__new__)
     2176    0.001    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3645(get_xbound)
    26112    0.013    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:1334(is_math_text)
    26112    0.010    0.000    0.020    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1425(set_solid_capstyle)
     2249    0.003    0.000    0.020    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:620(set)
    45804    0.014    0.000    0.019    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copyreg.py:98(__newobj__)
    26112    0.009    0.000    0.019    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/lines.py:1377(set_solid_joinstyle)
     4351    0.002    0.000    0.019    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:711(__eq__)
     4352    0.003    0.000    0.019    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/markers.py:756(_set_tickleft)
        1    0.000    0.000    0.019    0.019 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/dask/highlevelgraph.py:1(<module>)
    13056    0.009    0.000    0.019    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:805(limit_range_for_scale)
    29789    0.019    0.000    0.019    0.000 {method 'format' of 'str' objects}
     9744    0.010    0.000    0.019    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:2728(__init__)
        1    0.000    0.000    0.019    0.019 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/dask/widgets/__init__.py:1(<module>)
