         57347559 function calls (56106207 primitive calls) in 92.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8704/8666    0.013    0.000    4.871    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1585(_get_tick)
     1088    4.819    0.004    4.843    0.004 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:2318(_convert_mesh_to_triangles)
 2246/490    0.005    0.000    4.654    0.009 <frozen os>:202(makedirs)
 1741/187    0.158    0.000    4.396    0.024 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:92(draw_wrapper)
15907/187    1.300    0.000    4.287    0.023 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:53(draw_wrapper)
 2001/187    1.402    0.001    4.206    0.022 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:3237(draw)
 1087/696    0.038    0.000    4.198    0.006 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3168(amax)
4352/4316    0.009    0.000    4.039    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:1115(set_clip_path)
2198/1216    3.757    0.002    3.332    0.003 {method 'encode' of 'ImagingEncoder' objects}
8704/8678    0.132    0.000    3.317    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:59(__init__)
17408/17392    0.043    0.000    3.307    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:946(set_tick_params)
     2193    0.003    0.000    3.037    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
